,short,long
0,8MO,8Mobility
1,ACM,Acme
2,ADN,Adonit
3,AII,Aiino
4,AKI,Akitio
5,ALL,Allocacoc
6,AP2,Apple
7,APP,Apple
8,BAN,Band&Strap
9,BEA,Beats
10,BEL,Belkin
11,BEZ,Be.ez
12,BLL,BlueLounge
13,BLM,Blue Microphones
14,BNQ,BenQ
15,BOD,BodyGuardz
16,BOO,Booq
17,BOS,Bose
18,BTC,Boostcase
19,CAD,Bose
20,CAI,Casetify
21,CEL,Celly
22,COG,Cogito
23,CRU,Crucial
24,CYB,Cyberpower
25,CYG,Cygnett
26,DEV,Devolo
27,DJI,DJI
28,DLK,D-Link
29,DLL,Dell
30,DOD,Dodocool
31,DRO,Drobo
32,DVI,Devia
33,EIZ,Eizo
34,ELA,Elago
35,ELE,Elevation Lab
36,ELG,Elgato
37,ENV,Unknown
38,EVU,Evutec
39,FCM,FCM
40,FIB,Fibaro
41,FIF,FiftyThree
42,FIT,Fitbit
43,GAM,Gamevice
44,GLY,Glyph Atom
45,GOP,GoPro
46,GRT,Griffin
47,GTE,G-Technology
48,HAR,Harman Kardon
49,HGD,Henge Docks
50,HGS,HGST Travelstar
51,HIC,Hitcase
52,HOC,Hoco Nike
53,HOW,Honeywell
54,HTE,Hyper Pearl
55,IAM,I AM
56,ICA,Incase
57,IFR,iFrogz
58,IFX,iFixit
59,IHE,iHealth
60,IKM,IK Multimedia
61,IOT,iOttie
62,JAB,Jabra
63,JAW,Jawbone
64,JBL,JBL
65,JMO,Just Mobile
66,JOB,Joby
67,JYB,Jaybird
68,KAI,Kaiser Baas
69,KAN,Kanex
70,KEN,Jaybird
71,KEU,Kenu Airframe
72,KIN,Kingston
73,KOO,Koogeek
74,KUA,Kukaclip
75,LAC,LaCie
76,LAN,LandingZone
77,LEE,Leef
78,LEX,Lexar
79,LGE,LG
80,LIB,Unknown
81,LIF,Lifeproof
82,LMP,LMP
83,LOG,Logitech
84,LUN,Lunatik
85,MAC,Macally
86,MAK,Maclocks
87,MAT,Matias
88,MBI,Mobility Lab
89,MDT,Mediterrans
90,MIC,Microsoft
91,MIN,Minibatt
92,MMW,My MW
93,MOL,Moleskine
94,MOP,Mophie
95,MOS,Moshi
96,MOX,Moxie
97,MTF,Mistify
98,MUJ,Mophie
99,MUV,Muvit
100,MYF,MyFox
101,NDA,Nonda
102,NDE,Ndevr
103,NEA,Netatmo
104,NES,Nest
105,NIE,Ninebot
106,NIM,Nimbus
107,NKI,Nokia
108,NOD,Nodon
109,NOK,Noke
110,NOM,Nomad
111,NTE,NewerTech
112,OBL,Oblumi
113,OLI,Olixar
114,OLL,Olloclip
115,OPU,Opulus
116,OSM,Osmo
117,OTR,Startech
118,OTT,Otterbox
119,OWC,OWC
120,PAC,Pack
121,PAR,Parrot
122,PEB,Pebble
123,PHI,Philips
124,PIE,Replacement
125,PLA,Plantronics
126,POL,Polaroid
127,PQI,Pqi
128,PRO,Promise
129,PRY,Prynt
130,PUR,Puro
131,QAR,Qardio
132,QDO,QDos
133,QNA,QNAP
134,RAI,Rain Design
135,REP,Repair
136,RET,Retrak Utopia
137,RUT,Runstastic
138,RYV,Ryval
139,SAM,Samsung
140,SAN,SanDisk
141,SAT,Satechi
142,SDE,SDesign
143,SEA,Seagate
144,SEV,Service
145,SHE,SwitchEasy
146,SNA,Sena
147,SNN,Sonnet
148,SNS,Sonos
149,SOF,Software
150,SPE,Spek SeeThru
151,SPH,Sphero
152,SSE,Sen.se
153,STA,Startech
154,STC,Stacked
155,STI,Stil Mind
156,STK,Stikgo
157,STM,STM
158,SXA,SecurityXtra
159,SYN,Synology
160,TAD,Tado
161,TAM,Tangram
162,TCH,Tech21
163,THU,Thule
164,TIG,Tigra
165,TIL,Tile
166,TOS,Toshiba
167,TPL,TP-Link
168,TRA,Trascend
169,TRI,Tribe
170,TRK,TrackR
171,TRN,Trunk Sleeve
172,TUC,Tucano
173,TWS,Twelve South
174,UAG,Urban Armor Gear
175,WAC,Wacom
176,WDT,Western Digital
177,WHO,Whoosh
178,WIK,Wikango
179,WIT,Withings
180,WOE,Wowewa
181,XDO,X-Doria
182,XOO,Xoopar
183,XRI,X-Rite
184,XTO,Xtorm
185,ZAG,ZaggKeys
186,ZEP,Zepp
