,sku,name,desc,price,promo_price,in_stock,type
0,RAI0007,Silver Rain Design mStand Support,Aluminum support compatible with all MacBook,59.99,49.9899,1,8696
1,APP0023,Apple Mac Keyboard Keypad Spanish,USB ultrathin keyboard Apple Mac Spanish.,59.0,58.9996,0,13855401
2,APP0025,Mighty Mouse Apple Mouse for Mac,mouse Apple USB cable.,59.0,56.989799999999995,0,1387
3,APP0072,Apple Dock to USB Cable iPhone and iPod white,IPhone dock and USB Cable Apple iPod.,25.0,22.999699999999997,0,1230
4,KIN0007,Mac Memory Kingston 2GB 667MHz DDR2 SO-DIMM,2GB RAM Mac mini and iMac (2006/07) MacBook Pro (2006/07/08).,34.99,0.31989999999999996,1,1364
5,APP0073,Apple Composite AV Cable iPhone and iPod white,IPhone and iPod AV Cable Dock to Composite Video.,45.0,42.000299999999996,0,1230
6,KIN0008,Mac Memory Kingston 1GB 667MHz DDR2 SO-DIMM,1GB RAM Mac mini and iMac (2006/07) MacBook Pro (2006/07/08).,18.99,14.6471,0,1364
7,KIN0009,Mac Memory Kingston 2GB 800MHz DDR2 SO-DIMM,2GB RAM iMac with Intel Core 2 Duo (Penryn).,36.99,27.4694,0,1364
8,KIN0001-2,Mac memory Kingston 4GB (2x2GB) 667MHz DDR2 SO-DIMM,RAM 4GB (2x2GB) Mac mini and iMac (2006/07) MacBook Pro (2006/07/08).,74.0,66.9904,0,1364
9,APP0100,Apple Adapter Mini Display Port to VGA,Adapter Mini Display Port to VGA MacBook and MacBook Pro (unibody).,35.0,33.0003,0,1325
10,APP0101,Apple Mini DisplayPort to DVI Adapter,Adapter mini DisplayPort to DVI MacBook and MacBook Pro (unibody).,35.0,33.0003,0,1325
11,SEN0021,Sennheiser CX 300-II Precision headphones iPhone iPad and iPod black,Headphones iPhone iPad iPad 2 iPad 3 and iPod.,49.99,44.9878,0,5384
12,APP0111,Apple USB Ethernet Adapter Mac,USB to Ethernet adapter Mac.,35.0,33.0003,0,1334
13,APP0156,45W MagSafe charger Apple MacBook Air,Charger MacBook Air MagSafe 45 W (MC747Z / A).,89.0,84.99040000000001,0,13005399
14,MOS0013,Adapter Moshi FireWire 400 to FireWire 800,FireWire 400 adapter cable FireWire 800.,20.0,17.9891,0,1325
15,MOS0021,Clearguard Moshi MacBook Pro and Air,Keyboard Protector MacBook Pro 13-inch Retina 15 inches 17 inches 13 inches 15 inches and 13-inch Air.,24.95,24.988899999999997,0,13835403
16,APP0206,"60W MagSafe charger Apple MacBook and MacBook Pro 13 """,Charger MacBook and 13 inch MacBook MagSafe 60 W (MC461Z / A).,89.0,84.99040000000001,1,13005399
17,HGD0007,"Henge Docks Docking Station MacBook Pro 13 """,Dock and support with multiple connections for MacBook Pro 13-inch.,69.99,69.9864,0,12995397
18,MUV0009,Muvit Back Clear Case iPhone 4 / 4S Transparent,Case iPhone 4 / 4S polycarbonate.,9.99,0.7986,0,11865403
19,APP0234,Apple Dock Connector to VGA,Dock Connector to VGA IOS.,35.0,35.0005,0,13955395
20,APP0247,"85W MagSafe charger Apple MacBook Pro 15 ""/ 17""",Charger MacBook Pro MagSafe 85 W (MC556Z / A).,89.0,84.99040000000001,1,13005399
21,APP0233,Apple iPad Camera Connection connector,IPad connector for digital cameras and SD cards.,35.0,34.9896,0,13955395
22,JMO0014,Just Mobile Upstand iPad support,Support Retina iPad and iPad mini aluminum.,49.95,39.990500000000004,0,1216
23,MOB0007,Mobee Magic Charger Charger Magic Mouse,Wireless Charger for Magic Mouse,49.99,49.9851,0,12355400
24,APP0277,Apple Wireless Keyboard Keyboard (OEM) Mac,Ultrathin keyboard Apple Bluetooth Spanish (unboxed).,79.0,75.9904,0,13855401
25,MOP0011,Mophie Juice Pack Air Battery Case iPhone 4 / 4S black,Battery Case iPhone 4 / 4S rigid polymer.,69.99,5.6991,0,"5,49E+11"
26,APP0280,Apple HDMI to HDMI Cable 1.8m,HMDI to HDMI Cable 1.8m.,25.0,24.0004,0,1325
27,OND0069,Adapter mini DVI to HDMI,Adapter mini DVI to HDMI for Mac and PC,16.49,14.9895,0,1325
28,SNN0007,Sonnet Tempo SATA PCIe Mac and PC E2P,PCIe Card with 2 Serial ATA ports Mac and PC.,59.99,50.21020000000001,0,1276
29,KIN0025,Mac memory DIMM DDR3 2GB 1333MHz Kingston,2GB RAM Mac Pro (July 2010).,29.99,17.9903,0,1364
30,OND0073,Mini DisplayPort to HDMI Cable 18m,Cable with Mini DisplayPort to HDMI (audio + video),22.99,16.9896,0,1325
31,MOS0042,Adapter Moshi Mini Display Port to VGA,Cable Adapter Mini Display Port to VGA.,34.99,26.9903,0,1325
32,BEL0070,Music Receiver Belkin iPhone music receiver,Music Receiver iPhone iPad and iPod Touch for stereos via Bluetooth,49.99,29.9899,0,11905404
33,LMP0007,KeyPad LMP Bluetooth Keypad Mac,expansion keypad Mac with bluetooth connection.,54.99,39.990500000000004,1,13855401
34,TWS0019,Twelve South MagicWand support Apple Magic Trackpad,MagicWand for wireless keyboard and Magic Trackpad.,,29.9899,0,8696
35,BEL0072,Belkin PRO Series USB 2.0 Cable 18M,USB Cable USB type A and type B 18m in length for Mac and PC,3.99,2.9899,1,1325
36,APP0308,AV Cable Adapter Apple iPhone iPad and iPod white,IPhone iPad iPod adapter and AV cable.,45.0,35.9999,0,1230
37,GRT0196,Griffin Survivor Extreme-Duty Case iPad 2 3 and 4 black,IPad 2 Case 3 and 4 for extreme ultra resistant.,64.99,49.9899,0,12635403
38,MUV0023,Extreme Muvit iPhone and iPod BikeMount sleeve black Touch,IPhone and iPod support sleeve waterproof App Touch and bicycle.,35.9,16.9896,0,11865403
39,JMO0026,Just Mobile Lazy Couch Support Mac and iPad,Mac and iPad small lift stand.,19.95,19.9892,0,8696
40,OWC0007,OWC Data Doubler Optical Bay adapter Macbook / Macbook Pro,Tray SuperDrive replacement hard disk or SSD.,72.99,39.990500000000004,1,12755395
41,KEN0028,Kensington ClickSafe lock Mac and PC,Mac and PC padlock with keys.,54.99,49.9899,0,1325
42,APP0343,Apple Thunderbolt Cable 2m White,Cable Mac Apple Thunderbolt 2m.,45.0,42.99979999999999,1,1325
43,MOS0044,Moshi FireWire 800 Cable,FireWire 800 Cable 18 m.,34.99,26.9903,0,1325
44,MOS0062,Moshi USB Ethernet Adapter,USB to Ethernet adapter.,29.0,24.9865,0,1325
45,MOB0009,Mobee Magic Numpad for the Magic Trackpad,3 Numeric for Magic Trackpad stickers.,29.49,27.9873,0,12355400
46,TWS0026,"Twelve South BookBook MacBook Air sleeve 11 ""brown",Case Macbook 11 inches vintage skin with soft padding.,79.99,74.9958,0,13835403
47,MOB0010,Additional Battery Pack Mobee Magic Bar,Pack extra battery Mobee Magic Bar.,29.99,16.9884,0,12355400
48,IST0009,iStabilizer iPhone Tripod Mount,IPhone Tripod Adapter for photo and video.,19.99,19.9892,0,1216
49,TWS0027,"Twelve South BookBook Case MacBook Air / Pro 13 ""brown",Funda Macbook Air / Pro 13 inch vintage leather with padded interior.,79.99,74.9898,0,13835403
50,APP0367,Apple Mini DisplayPort to DVI Adapter Mac dual channel,Adapter Mini Display Port to DVI dual channel MacBook MacBook Pro and MacBook Air.,119.0,111.9976,0,1325
51,APP0344,"Apple Thunderbolt Display 27 ""Monitor Mac",Monitor Display 27-inch Apple Thunderbolt (MC914ZM / A).,1149.0,1044.9923,0,1296
52,BLL0008,BlueLounge CableDrop Pack 6 Black,Cable management Mac iPhone iPad and iPod.,11.99,11.9911,0,12285400
53,BLL0009,BlueLounge CableDrop Pack 6 White,Cable management Mac iPhone iPad and iPod.,12.99,10.9868,0,12285400
54,BLL0011,BlueLounge Milo iPhone and iPod black support,Desktop support iPhone and iPod.,14.99,14.9895,0,1216
55,BLL0012,Milo BlueLounge support iPhone and iPod white,Desktop support iPhone and iPod.,14.99,14.991900000000001,0,1216
